120273354;-65038;65038;0,362637532
171820674;-64927;64927;0,191349166
18922279;-64897;64897;0,145055013
100301061;-64983;64983;0,277764918
116334552;-64945;64945;0,219125658
72333177;-65013;65013;0,324059071
45720254;-65011;65011;0,320972794
101126603;-65079;65079;0,425906208
71997556;-65071;65071;0,413561101
8047829;-65129;65129;0,50306313
168578387;-65117;65117;0,484545469
98727240;-65066;65066;0,405845408
180515826;-64951;64951;0,228384488
212810569;-64984;64984;0,279308057
55133979;-64980;64980;0,273135503
111509164;-65109;65109;0,472200361
210951743;-64991;64991;0,290110026
215402627;-65066;65066;0,405845408
181811599;-64975;64975;0,265419811
192190768;-65038;65038;0,362637532
;;;
;;;
;;;
;;;
best;64803;;
Œrednia;0,332546333;;
mediana;0,322515933;;
